CAMPUS CORNELIO PROCOPIO
CURSO: ;Administracao - Noturno - 80 Vagas
012319;490;DESCLASSIFICADO
006650;490;DESCLASSIFICADO
006627;490;DESCLASSIFICADO
006184;490;DESCLASSIFICADO
000958;490;DESCLASSIFICADO
098018;487;DESCLASSIFICADO
062546;487;DESCLASSIFICADO
056877;487;DESCLASSIFICADO
005856;487;DESCLASSIFICADO
000187;487;DESCLASSIFICADO
068972;485;DESCLASSIFICADO
068844;485;DESCLASSIFICADO
063175;485;DESCLASSIFICADO
029289;485;DESCLASSIFICADO
023492;485;DESCLASSIFICADO
017951;485;DESCLASSIFICADO
012282;485;DESCLASSIFICADO
012154;485;DESCLASSIFICADO
006613;485;DESCLASSIFICADO
006485;485;DESCLASSIFICADO
000816;485;DESCLASSIFICADO
098256;483;DESCLASSIFICADO
088658;483;DESCLASSIFICADO
068453;483;DESCLASSIFICADO
062784;483;DESCLASSIFICADO
057115;483;DESCLASSIFICADO
051446;483;DESCLASSIFICADO
011763;483;DESCLASSIFICADO
006094;483;DESCLASSIFICADO
000425;483;DESCLASSIFICADO
068662;478;DESCLASSIFICADO
062993;478;DESCLASSIFICADO
057324;478;DESCLASSIFICADO
017641;478;DESCLASSIFICADO
000634;478;DESCLASSIFICADO
098019;476;DESCLASSIFICADO
088421;476;DESCLASSIFICADO
078823;476;DESCLASSIFICADO
068900;476;DESCLASSIFICADO
068216;476;DESCLASSIFICADO
063231;476;DESCLASSIFICADO
062547;476;DESCLASSIFICADO
056878;476;DESCLASSIFICADO
051209;476;DESCLASSIFICADO
045540;476;DESCLASSIFICADO
039871;476;DESCLASSIFICADO
029217;476;DESCLASSIFICADO
023671;476;DESCLASSIFICADO
023548;476;DESCLASSIFICADO
017879;476;DESCLASSIFICADO
012333;476;DESCLASSIFICADO
012210;476;DESCLASSIFICADO
006664;476;DESCLASSIFICADO
006541;476;DESCLASSIFICADO
005857;476;DESCLASSIFICADO
000872;476;DESCLASSIFICADO
000188;476;DESCLASSIFICADO
012365;475;DESCLASSIFICADO
040895;471;DESCLASSIFICADO
029557;471;DESCLASSIFICADO
023888;471;DESCLASSIFICADO
018219;471;DESCLASSIFICADO
017730;471;DESCLASSIFICADO
012061;471;DESCLASSIFICADO
098610;469;DESCLASSIFICADO
098563;469;DESCLASSIFICADO
069072;469;DESCLASSIFICADO
068807;469;DESCLASSIFICADO
063091;469;DESCLASSIFICADO
029389;469;DESCLASSIFICADO
018051;469;DESCLASSIFICADO
017786;469;DESCLASSIFICADO
017739;469;DESCLASSIFICADO
012117;469;DESCLASSIFICADO
012070;469;DESCLASSIFICADO
006448;469;DESCLASSIFICADO
000732;469;DESCLASSIFICADO
098042;467;DESCLASSIFICADO
097853;467;DESCLASSIFICADO
088444;467;DESCLASSIFICADO
078846;467;DESCLASSIFICADO
078657;467;DESCLASSIFICADO
062570;467;DESCLASSIFICADO
056901;467;DESCLASSIFICADO
056712;467;DESCLASSIFICADO
051232;467;DESCLASSIFICADO
045374;467;DESCLASSIFICADO
039705;467;DESCLASSIFICADO
035242;467;DESCLASSIFICADO
034036;467;DESCLASSIFICADO
029573;467;DESCLASSIFICADO
023620;467;DESCLASSIFICADO
018235;467;DESCLASSIFICADO
012566;467;DESCLASSIFICADO
000944;467;DESCLASSIFICADO
029577;465;DESCLASSIFICADO
018239;465;DESCLASSIFICADO
078877;464;DESCLASSIFICADO
062601;464;DESCLASSIFICADO
051263;464;DESCLASSIFICADO
035167;464;DESCLASSIFICADO
023847;464;DESCLASSIFICADO
012509;464;DESCLASSIFICADO
035226;462;DESCLASSIFICADO
012550;462;DESCLASSIFICADO
098465;460;DESCLASSIFICADO
088459;460;DESCLASSIFICADO
088420;460;DESCLASSIFICADO
078822;460;DESCLASSIFICADO
068760;460;DESCLASSIFICADO
068254;460;DESCLASSIFICADO
068215;460;DESCLASSIFICADO
062585;460;DESCLASSIFICADO
056916;460;DESCLASSIFICADO
051247;460;DESCLASSIFICADO
051208;460;DESCLASSIFICADO
045539;460;DESCLASSIFICADO
039870;460;DESCLASSIFICADO
035241;460;DESCLASSIFICADO
035058;460;DESCLASSIFICADO
029510;460;DESCLASSIFICADO
023903;460;DESCLASSIFICADO
023841;460;DESCLASSIFICADO
023720;460;DESCLASSIFICADO
023408;460;DESCLASSIFICADO
012565;460;DESCLASSIFICADO
012503;460;DESCLASSIFICADO
012382;460;DESCLASSIFICADO
011972;460;DESCLASSIFICADO
006713;460;DESCLASSIFICADO
006401;460;DESCLASSIFICADO
006303;460;DESCLASSIFICADO
005895;460;DESCLASSIFICADO
098110;458;DESCLASSIFICADO
088512;458;DESCLASSIFICADO
078914;458;DESCLASSIFICADO
069023;458;DESCLASSIFICADO
068307;458;DESCLASSIFICADO
056969;458;DESCLASSIFICADO
051300;458;DESCLASSIFICADO
045631;458;DESCLASSIFICADO
029624;458;DESCLASSIFICADO
029340;458;DESCLASSIFICADO
023719;458;DESCLASSIFICADO
018002;458;DESCLASSIFICADO
000279;458;DESCLASSIFICADO
069055;457;DESCLASSIFICADO
035041;457;DESCLASSIFICADO
029372;457;DESCLASSIFICADO
023703;457;DESCLASSIFICADO
018034;457;DESCLASSIFICADO
006696;457;DESCLASSIFICADO
040915;456;DESCLASSIFICADO
035246;456;DESCLASSIFICADO
023908;456;DESCLASSIFICADO
012570;456;DESCLASSIFICADO
098073;455;DESCLASSIFICADO
088475;455;DESCLASSIFICADO
068270;455;DESCLASSIFICADO
056932;455;DESCLASSIFICADO
045594;455;DESCLASSIFICADO
029498;455;DESCLASSIFICADO
023829;455;DESCLASSIFICADO
018160;455;DESCLASSIFICADO
012491;455;DESCLASSIFICADO
005911;455;DESCLASSIFICADO
000242;455;DESCLASSIFICADO
098241;453;DESCLASSIFICADO
068438;453;DESCLASSIFICADO
062769;453;DESCLASSIFICADO
057100;453;DESCLASSIFICADO
011882;453;DESCLASSIFICADO
011748;453;DESCLASSIFICADO
006079;453;DESCLASSIFICADO
000410;453;DESCLASSIFICADO
068660;451;DESCLASSIFICADO
057322;451;DESCLASSIFICADO
040910;451;DESCLASSIFICADO
035179;451;DESCLASSIFICADO
029572;451;DESCLASSIFICADO
018234;451;DESCLASSIFICADO
018172;451;DESCLASSIFICADO
017639;451;DESCLASSIFICADO
000632;451;DESCLASSIFICADO
040966;448;DESCLASSIFICADO
035297;448;DESCLASSIFICADO
029628;448;DESCLASSIFICADO
023959;448;DESCLASSIFICADO
018290;448;DESCLASSIFICADO
012621;448;DESCLASSIFICADO
040951;444;DESCLASSIFICADO
035282;444;DESCLASSIFICADO
029613;444;DESCLASSIFICADO
023944;444;DESCLASSIFICADO
012606;444;DESCLASSIFICADO
029434;442;DESCLASSIFICADO
023765;442;DESCLASSIFICADO
018096;442;DESCLASSIFICADO
006758;442;DESCLASSIFICADO
069071;440;DESCLASSIFICADO
068239;440;DESCLASSIFICADO
062638;440;DESCLASSIFICADO
045563;440;DESCLASSIFICADO
040962;440;DESCLASSIFICADO
040911;440;DESCLASSIFICADO
035293;440;DESCLASSIFICADO
035057;440;DESCLASSIFICADO
029388;440;DESCLASSIFICADO
023955;440;DESCLASSIFICADO
023904;440;DESCLASSIFICADO
018286;440;DESCLASSIFICADO
018050;440;DESCLASSIFICADO
012617;440;DESCLASSIFICADO
012381;440;DESCLASSIFICADO
006712;440;DESCLASSIFICADO
005948;440;DESCLASSIFICADO
005880;440;DESCLASSIFICADO
000211;440;DESCLASSIFICADO
040854;437;DESCLASSIFICADO
035221;437;DESCLASSIFICADO
035185;437;DESCLASSIFICADO
029552;437;DESCLASSIFICADO
029516;437;DESCLASSIFICADO
023883;437;DESCLASSIFICADO
018214;437;DESCLASSIFICADO
018178;437;DESCLASSIFICADO
088343;435;DESCLASSIFICADO
068138;435;DESCLASSIFICADO
062469;435;DESCLASSIFICADO
045462;435;DESCLASSIFICADO
098463;433;DESCLASSIFICADO
098057;433;DESCLASSIFICADO
078861;433;DESCLASSIFICADO
062991;433;DESCLASSIFICADO
045578;433;DESCLASSIFICADO
011970;433;DESCLASSIFICADO
006301;433;DESCLASSIFICADO
000226;433;DESCLASSIFICADO
040930;430;DESCLASSIFICADO
035261;430;DESCLASSIFICADO
029592;430;DESCLASSIFICADO
023923;430;DESCLASSIFICADO
012585;430;DESCLASSIFICADO
040890;428;DESCLASSIFICADO
012545;428;DESCLASSIFICADO
098375;426;DESCLASSIFICADO
097941;426;DESCLASSIFICADO
088777;426;DESCLASSIFICADO
088643;426;DESCLASSIFICADO
078745;426;DESCLASSIFICADO
068572;426;DESCLASSIFICADO
062903;426;DESCLASSIFICADO
057234;426;DESCLASSIFICADO
056800;426;DESCLASSIFICADO
051431;426;DESCLASSIFICADO
051131;426;DESCLASSIFICADO
039793;426;DESCLASSIFICADO
018275;426;DESCLASSIFICADO
017551;426;DESCLASSIFICADO
006213;426;DESCLASSIFICADO
000544;426;DESCLASSIFICADO
000110;426;DESCLASSIFICADO
063138;424;DESCLASSIFICADO
023455;424;DESCLASSIFICADO
000779;424;DESCLASSIFICADO
088720;423;DESCLASSIFICADO
000487;423;DESCLASSIFICADO
035149;421;DESCLASSIFICADO
029480;421;DESCLASSIFICADO
023811;421;DESCLASSIFICADO
018142;421;DESCLASSIFICADO
097863;419;DESCLASSIFICADO
088265;419;DESCLASSIFICADO
078860;419;DESCLASSIFICADO
078667;419;DESCLASSIFICADO
068985;419;DESCLASSIFICADO
062584;419;DESCLASSIFICADO
062391;419;DESCLASSIFICADO
056915;419;DESCLASSIFICADO
056722;419;DESCLASSIFICADO
051053;419;DESCLASSIFICADO
045384;419;DESCLASSIFICADO
039715;419;DESCLASSIFICADO
034046;419;DESCLASSIFICADO
029302;419;DESCLASSIFICADO
006626;419;DESCLASSIFICADO
000032;419;DESCLASSIFICADO
088441;417;DESCLASSIFICADO
068236;417;DESCLASSIFICADO
062567;417;DESCLASSIFICADO
051229;417;DESCLASSIFICADO
045560;417;DESCLASSIFICADO
005877;417;DESCLASSIFICADO
035103;415;DESCLASSIFICADO
012427;415;DESCLASSIFICADO
098318;414;DESCLASSIFICADO
068515;414;DESCLASSIFICADO
062846;414;DESCLASSIFICADO
057177;414;DESCLASSIFICADO
051508;414;DESCLASSIFICADO
011825;414;DESCLASSIFICADO
006156;414;DESCLASSIFICADO
088544;412;DESCLASSIFICADO
062670;412;DESCLASSIFICADO
051332;412;DESCLASSIFICADO
045663;412;DESCLASSIFICADO
023404;412;DESCLASSIFICADO
017735;412;DESCLASSIFICADO
006397;412;DESCLASSIFICADO
005980;412;DESCLASSIFICADO
000728;412;DESCLASSIFICADO
000311;412;DESCLASSIFICADO
098142;403;DESCLASSIFICADO
068339;403;DESCLASSIFICADO
057001;403;DESCLASSIFICADO
051430;403;DESCLASSIFICADO
023785;403;DESCLASSIFICADO
018254;403;DESCLASSIFICADO
018116;403;DESCLASSIFICADO
012447;403;DESCLASSIFICADO
006778;403;DESCLASSIFICADO
000409;403;DESCLASSIFICADO
098552;402;DESCLASSIFICADO
063080;402;DESCLASSIFICADO
023397;402;DESCLASSIFICADO
017728;402;DESCLASSIFICADO
006390;402;DESCLASSIFICADO
098056;401;DESCLASSIFICADO
088458;401;DESCLASSIFICADO
068253;401;DESCLASSIFICADO
051246;401;DESCLASSIFICADO
045577;401;DESCLASSIFICADO
023633;401;DESCLASSIFICADO
017964;401;DESCLASSIFICADO
012295;401;DESCLASSIFICADO
005894;401;DESCLASSIFICADO
000957;401;DESCLASSIFICADO
000225;401;DESCLASSIFICADO
098301;399;DESCLASSIFICADO
098039;399;DESCLASSIFICADO
088703;399;DESCLASSIFICADO
078843;399;DESCLASSIFICADO
068498;399;DESCLASSIFICADO
062829;399;DESCLASSIFICADO
057160;399;DESCLASSIFICADO
056898;399;DESCLASSIFICADO
011808;399;DESCLASSIFICADO
006139;399;DESCLASSIFICADO
000208;399;DESCLASSIFICADO
098462;396;DESCLASSIFICADO
068864;396;DESCLASSIFICADO
068659;396;DESCLASSIFICADO
023749;396;DESCLASSIFICADO
023512;396;DESCLASSIFICADO
012411;396;DESCLASSIFICADO
006742;396;DESCLASSIFICADO
006505;396;DESCLASSIFICADO
006300;396;DESCLASSIFICADO
098559;394;DESCLASSIFICADO
098092;394;DESCLASSIFICADO
088494;394;DESCLASSIFICADO
078896;394;DESCLASSIFICADO
068756;394;DESCLASSIFICADO
068289;394;DESCLASSIFICADO
063148;394;DESCLASSIFICADO
063087;394;DESCLASSIFICADO
062620;394;DESCLASSIFICADO
056951;394;DESCLASSIFICADO
051282;394;DESCLASSIFICADO
045613;394;DESCLASSIFICADO
040947;394;DESCLASSIFICADO
029609;394;DESCLASSIFICADO
023465;394;DESCLASSIFICADO
018271;394;DESCLASSIFICADO
012602;394;DESCLASSIFICADO
012473;394;DESCLASSIFICADO
012066;394;DESCLASSIFICADO
006458;394;DESCLASSIFICADO
005930;394;DESCLASSIFICADO
000261;394;DESCLASSIFICADO
051491;390;DESCLASSIFICADO
000470;390;DESCLASSIFICADO
068855;387;DESCLASSIFICADO
063195;387;DESCLASSIFICADO
035097;387;DESCLASSIFICADO
035087;387;DESCLASSIFICADO
029428;387;DESCLASSIFICADO
029418;387;DESCLASSIFICADO
023759;387;DESCLASSIFICADO
023503;387;DESCLASSIFICADO
018080;387;DESCLASSIFICADO
017843;387;DESCLASSIFICADO
012421;387;DESCLASSIFICADO
012174;387;DESCLASSIFICADO
012165;387;DESCLASSIFICADO
006496;387;DESCLASSIFICADO
000836;387;DESCLASSIFICADO
000827;387;DESCLASSIFICADO
098620;385;DESCLASSIFICADO
068817;385;DESCLASSIFICADO
035123;385;DESCLASSIFICADO
029454;385;DESCLASSIFICADO
017796;385;DESCLASSIFICADO
012127;385;DESCLASSIFICADO
000789;385;DESCLASSIFICADO
023708;380;DESCLASSIFICADO
062990;378;DESCLASSIFICADO
057321;378;DESCLASSIFICADO
017638;378;DESCLASSIFICADO
011969;378;DESCLASSIFICADO
000631;378;DESCLASSIFICADO
098415;376;DESCLASSIFICADO
068612;376;DESCLASSIFICADO
062943;376;DESCLASSIFICADO
057274;376;DESCLASSIFICADO
017591;376;DESCLASSIFICADO
011922;376;DESCLASSIFICADO
006253;376;DESCLASSIFICADO
000584;376;DESCLASSIFICADO
068749;375;DESCLASSIFICADO
012059;375;DESCLASSIFICADO
000721;375;DESCLASSIFICADO
023910;373;DESCLASSIFICADO
018241;373;DESCLASSIFICADO
063127;371;DESCLASSIFICADO
035156;371;DESCLASSIFICADO
029487;371;DESCLASSIFICADO
023477;371;DESCLASSIFICADO
017808;371;DESCLASSIFICADO
017775;371;DESCLASSIFICADO
012480;371;DESCLASSIFICADO
006470;371;DESCLASSIFICADO
000801;371;DESCLASSIFICADO
000768;371;DESCLASSIFICADO
068929;369;DESCLASSIFICADO
063186;369;DESCLASSIFICADO
040955;369;DESCLASSIFICADO
029246;369;DESCLASSIFICADO
023948;369;DESCLASSIFICADO
023577;369;DESCLASSIFICADO
018279;369;DESCLASSIFICADO
018090;369;DESCLASSIFICADO
017908;369;DESCLASSIFICADO
017834;369;DESCLASSIFICADO
012239;369;DESCLASSIFICADO
006752;369;DESCLASSIFICADO
006570;369;DESCLASSIFICADO
000901;369;DESCLASSIFICADO
098240;367;DESCLASSIFICADO
088642;367;DESCLASSIFICADO
068437;367;DESCLASSIFICADO
062768;367;DESCLASSIFICADO
057099;367;DESCLASSIFICADO
035278;367;DESCLASSIFICADO
023940;367;DESCLASSIFICADO
011747;367;DESCLASSIFICADO
006078;367;DESCLASSIFICADO
068891;366;DESCLASSIFICADO
023539;366;DESCLASSIFICADO
017870;366;DESCLASSIFICADO
006532;366;DESCLASSIFICADO
000863;366;DESCLASSIFICADO
098632;362;DESCLASSIFICADO
098599;362;DESCLASSIFICADO
098247;362;DESCLASSIFICADO
088649;362;DESCLASSIFICADO
068829;362;DESCLASSIFICADO
068796;362;DESCLASSIFICADO
068444;362;DESCLASSIFICADO
063160;362;DESCLASSIFICADO
062775;362;DESCLASSIFICADO
057106;362;DESCLASSIFICADO
051437;362;DESCLASSIFICADO
023444;362;DESCLASSIFICADO
012139;362;DESCLASSIFICADO
012106;362;DESCLASSIFICADO
011754;362;DESCLASSIFICADO
006437;362;DESCLASSIFICADO
006085;362;DESCLASSIFICADO
000416;362;DESCLASSIFICADO
068809;355;DESCLASSIFICADO
040917;355;DESCLASSIFICADO
035248;355;DESCLASSIFICADO
029579;355;DESCLASSIFICADO
012572;355;DESCLASSIFICADO
012119;355;DESCLASSIFICADO
006450;355;DESCLASSIFICADO
000781;355;DESCLASSIFICADO
098487;353;DESCLASSIFICADO
069060;353;DESCLASSIFICADO
068684;353;DESCLASSIFICADO
035046;353;DESCLASSIFICADO
029377;353;DESCLASSIFICADO
023818;353;DESCLASSIFICADO
018149;353;DESCLASSIFICADO
018039;353;DESCLASSIFICADO
012370;353;DESCLASSIFICADO
006701;353;DESCLASSIFICADO
000656;353;DESCLASSIFICADO
098264;351;DESCLASSIFICADO
088666;351;DESCLASSIFICADO
068461;351;DESCLASSIFICADO
051454;351;DESCLASSIFICADO
035286;351;DESCLASSIFICADO
029617;351;DESCLASSIFICADO
012610;351;DESCLASSIFICADO
011771;351;DESCLASSIFICADO
000433;351;DESCLASSIFICADO
069002;349;DESCLASSIFICADO
029319;349;DESCLASSIFICADO
023650;349;DESCLASSIFICADO
017981;349;DESCLASSIFICADO
012312;349;DESCLASSIFICADO
006643;349;DESCLASSIFICADO
063222;348;DESCLASSIFICADO
029208;348;DESCLASSIFICADO
012201;348;DESCLASSIFICADO
098612;346;DESCLASSIFICADO
063140;346;DESCLASSIFICADO
023457;346;DESCLASSIFICADO
017788;346;DESCLASSIFICADO
063015;344;DESCLASSIFICADO
057346;344;DESCLASSIFICADO
017663;344;DESCLASSIFICADO
011994;344;DESCLASSIFICADO
006325;344;DESCLASSIFICADO
062792;342;DESCLASSIFICADO
057123;342;DESCLASSIFICADO
006102;342;DESCLASSIFICADO
040952;328;DESCLASSIFICADO
018276;328;DESCLASSIFICADO
098334;325;DESCLASSIFICADO
088736;325;DESCLASSIFICADO
062862;325;DESCLASSIFICADO
057193;325;DESCLASSIFICADO
051524;325;DESCLASSIFICADO
017510;325;DESCLASSIFICADO
011841;325;DESCLASSIFICADO
000503;325;DESCLASSIFICADO
098201;321;DESCLASSIFICADO
088603;321;DESCLASSIFICADO
062625;321;DESCLASSIFICADO
057060;321;DESCLASSIFICADO
056956;321;DESCLASSIFICADO
051391;321;DESCLASSIFICADO
011708;321;DESCLASSIFICADO
006039;321;DESCLASSIFICADO
005935;321;DESCLASSIFICADO
000370;321;DESCLASSIFICADO
035283;319;DESCLASSIFICADO
029614;319;DESCLASSIFICADO
023945;319;DESCLASSIFICADO
012607;319;DESCLASSIFICADO
088522;317;DESCLASSIFICADO
068317;317;DESCLASSIFICADO
062648;317;DESCLASSIFICADO
045641;317;DESCLASSIFICADO
005958;317;DESCLASSIFICADO
000289;317;DESCLASSIFICADO
097968;314;DESCLASSIFICADO
088370;314;DESCLASSIFICADO
078772;314;DESCLASSIFICADO
068689;314;DESCLASSIFICADO
068165;314;DESCLASSIFICADO
062496;314;DESCLASSIFICADO
057351;314;DESCLASSIFICADO
056827;314;DESCLASSIFICADO
051158;314;DESCLASSIFICADO
045489;314;DESCLASSIFICADO
039820;314;DESCLASSIFICADO
017668;314;DESCLASSIFICADO
011999;314;DESCLASSIFICADO
006330;314;DESCLASSIFICADO
000137;314;DESCLASSIFICADO
098120;308;DESCLASSIFICADO
078924;308;DESCLASSIFICADO
056979;308;DESCLASSIFICADO
051310;308;DESCLASSIFICADO
068531;307;DESCLASSIFICADO
006172;307;DESCLASSIFICADO
098101;303;DESCLASSIFICADO
098097;303;DESCLASSIFICADO
088503;303;DESCLASSIFICADO
088499;303;DESCLASSIFICADO
078901;303;DESCLASSIFICADO
068294;303;DESCLASSIFICADO
051287;303;DESCLASSIFICADO
045622;303;DESCLASSIFICADO
045618;303;DESCLASSIFICADO
005939;303;DESCLASSIFICADO
000266;303;DESCLASSIFICADO
023691;302;DESCLASSIFICADO
018022;302;DESCLASSIFICADO
012353;302;DESCLASSIFICADO
006684;302;DESCLASSIFICADO
078905;294;DESCLASSIFICADO
068398;294;DESCLASSIFICADO
068298;294;DESCLASSIFICADO
062729;294;DESCLASSIFICADO
062629;294;DESCLASSIFICADO
056960;294;DESCLASSIFICADO
051291;294;DESCLASSIFICADO
000270;294;DESCLASSIFICADO
069043;293;DESCLASSIFICADO
035029;293;DESCLASSIFICADO
029360;293;DESCLASSIFICADO
098115;292;DESCLASSIFICADO
088517;292;DESCLASSIFICADO
078919;292;DESCLASSIFICADO
068312;292;DESCLASSIFICADO
062643;292;DESCLASSIFICADO
056974;292;DESCLASSIFICADO
051305;292;DESCLASSIFICADO
045636;292;DESCLASSIFICADO
005953;292;DESCLASSIFICADO
000284;292;DESCLASSIFICADO
097852;291;DESCLASSIFICADO
078656;291;DESCLASSIFICADO
062380;291;DESCLASSIFICADO
056711;291;DESCLASSIFICADO
039704;291;DESCLASSIFICADO
000021;291;DESCLASSIFICADO
098492;287;DESCLASSIFICADO
063020;287;DESCLASSIFICADO
000661;287;DESCLASSIFICADO
088254;273;DESCLASSIFICADO
051042;273;DESCLASSIFICADO
045373;273;DESCLASSIFICADO
034035;273;DESCLASSIFICADO
098045;0;DESCLASSIFICADO
029266;0;DESCLASSIFICADO
068577;0;DESCLASSIFICADO
017928;0;DESCLASSIFICADO
088539;0;DESCLASSIFICADO
068869;0;DESCLASSIFICADO
056904;0;DESCLASSIFICADO
000711;0;DESCLASSIFICADO
000848;0;DESCLASSIFICADO
006403;0;DESCLASSIFICADO
017867;0;DESCLASSIFICADO
045545;0;DESCLASSIFICADO
062989;0;DESCLASSIFICADO
000830;0;DESCLASSIFICADO
062573;0;DESCLASSIFICADO
029195;0;DESCLASSIFICADO
051214;0;DESCLASSIFICADO
068242;0;DESCLASSIFICADO
000214;0;DESCLASSIFICADO
000630;0;DESCLASSIFICADO
011887;0;DESCLASSIFICADO
029193;0;DESCLASSIFICADO
063070;0;DESCLASSIFICADO
098565;0;DESCLASSIFICADO
011933;0;DESCLASSIFICADO
057285;0;DESCLASSIFICADO
000495;0;DESCLASSIFICADO
029473;0;DESCLASSIFICADO
035290;0;DESCLASSIFICADO
063219;0;DESCLASSIFICADO
012072;0;DESCLASSIFICADO
012614;0;DESCLASSIFICADO
017855;0;DESCLASSIFICADO
098380;0;DESCLASSIFICADO
005862;0;DESCLASSIFICADO
006529;0;DESCLASSIFICADO
012188;0;DESCLASSIFICADO
023952;0;DESCLASSIFICADO
039876;0;DESCLASSIFICADO
057015;0;DESCLASSIFICADO
068888;0;DESCLASSIFICADO
068949;0;DESCLASSIFICADO
098461;0;DESCLASSIFICADO
017718;0;DESCLASSIFICADO
017741;0;DESCLASSIFICADO
023410;0;DESCLASSIFICADO
040959;0;DESCLASSIFICADO
062552;0;DESCLASSIFICADO
063200;0;DESCLASSIFICADO
068353;0;DESCLASSIFICADO
069016;0;DESCLASSIFICADO
000549;0;DESCLASSIFICADO
000710;0;DESCLASSIFICADO
005883;0;DESCLASSIFICADO
017848;0;DESCLASSIFICADO
035176;0;DESCLASSIFICADO
063093;0;DESCLASSIFICADO
078828;0;DESCLASSIFICADO
088558;0;DESCLASSIFICADO
000325;0;DESCLASSIFICADO
005975;0;DESCLASSIFICADO
006218;0;DESCLASSIFICADO
006519;0;DESCLASSIFICADO
006797;0;DESCLASSIFICADO
023664;0;DESCLASSIFICADO
023804;0;DESCLASSIFICADO
051235;0;DESCLASSIFICADO
063189;0;DESCLASSIFICADO
068658;0;DESCLASSIFICADO
000306;0;DESCLASSIFICADO
000921;0;DESCLASSIFICADO
012198;0;DESCLASSIFICADO
012259;0;DESCLASSIFICADO
023386;0;DESCLASSIFICADO
023517;0;DESCLASSIFICADO
023524;0;DESCLASSIFICADO
023526;0;DESCLASSIFICADO
045677;0;DESCLASSIFICADO
057185;0;DESCLASSIFICADO
062684;0;DESCLASSIFICADO
062908;0;DESCLASSIFICADO
063207;0;DESCLASSIFICADO
068623;0;DESCLASSIFICADO
068738;0;DESCLASSIFICADO
068858;0;DESCLASSIFICADO
068876;0;DESCLASSIFICADO
006164;0;DESCLASSIFICADO
006380;0;DESCLASSIFICADO
012049;0;DESCLASSIFICADO
012186;0;DESCLASSIFICADO
012466;0;DESCLASSIFICADO
029205;0;DESCLASSIFICADO
062854;0;DESCLASSIFICADO
068221;0;DESCLASSIFICADO
068878;0;DESCLASSIFICADO
078941;0;DESCLASSIFICADO
098137;0;DESCLASSIFICADO
098541;0;DESCLASSIFICADO
000850;0;DESCLASSIFICADO
006379;0;DESCLASSIFICADO
018283;0;DESCLASSIFICADO
023597;0;DESCLASSIFICADO
045658;0;DESCLASSIFICADO
062665;0;DESCLASSIFICADO
062954;0;DESCLASSIFICADO
078849;0;DESCLASSIFICADO
000734;0;DESCLASSIFICADO
006299;0;DESCLASSIFICADO
006590;0;DESCLASSIFICADO
006657;0;DESCLASSIFICADO
012048;0;DESCLASSIFICADO
017717;0;DESCLASSIFICADO
017857;0;DESCLASSIFICADO
018169;0;DESCLASSIFICADO
023387;0;DESCLASSIFICADO
029507;0;DESCLASSIFICADO
029621;0;DESCLASSIFICADO
051346;0;DESCLASSIFICADO
056996;0;DESCLASSIFICADO
068334;0;DESCLASSIFICADO
068523;0;DESCLASSIFICADO
068762;0;DESCLASSIFICADO
088426;0;DESCLASSIFICADO
098024;0;DESCLASSIFICADO
000193;0;DESCLASSIFICADO
000595;0;DESCLASSIFICADO
011833;0;DESCLASSIFICADO
017556;0;DESCLASSIFICADO
017602;0;DESCLASSIFICADO
017637;0;DESCLASSIFICADO
023506;0;DESCLASSIFICADO
035142;0;DESCLASSIFICADO
051327;0;DESCLASSIFICADO
057239;0;DESCLASSIFICADO
063209;0;DESCLASSIFICADO
098426;0;DESCLASSIFICADO
000841;0;DESCLASSIFICADO
000860;0;DESCLASSIFICADO
005994;0;DESCLASSIFICADO
006264;0;DESCLASSIFICADO
006499;0;DESCLASSIFICADO
006510;0;DESCLASSIFICADO
006517;0;DESCLASSIFICADO
011968;0;DESCLASSIFICADO
012168;0;DESCLASSIFICADO
012179;0;DESCLASSIFICADO
012326;0;DESCLASSIFICADO
012500;0;DESCLASSIFICADO
017837;0;DESCLASSIFICADO
017995;0;DESCLASSIFICADO
018135;0;DESCLASSIFICADO
023536;0;DESCLASSIFICADO
023838;0;DESCLASSIFICADO
029333;0;DESCLASSIFICADO
045566;0;DESCLASSIFICADO
051516;0;DESCLASSIFICADO
056883;0;DESCLASSIFICADO
057320;0;DESCLASSIFICADO
063069;0;DESCLASSIFICADO
068739;0;DESCLASSIFICADO
088447;0;DESCLASSIFICADO
088728;0;DESCLASSIFICADO
088782;0;DESCLASSIFICADO
098156;0;DESCLASSIFICADO
098326;0;DESCLASSIFICADO
098542;0;DESCLASSIFICADO

CURSO: ;Ciencias Contabeis - Noturno - 32 Vagas
IDENTIFICACAO;PONTUACAO;CLASSIFICACAO
097834;805;CLASSIFICADO
068804;805;CLASSIFICADO
063135;805;CLASSIFICADO
051024;805;CLASSIFICADO
017783;805;CLASSIFICADO
000776;805;CLASSIFICADO
098607;800;CLASSIFICADO
088236;800;CLASSIFICADO
078638;800;CLASSIFICADO
062362;800;CLASSIFICADO
056693;800;CLASSIFICADO
045355;800;CLASSIFICADO
039686;800;CLASSIFICADO
034017;800;CLASSIFICADO
023452;800;CLASSIFICADO
012114;800;CLASSIFICADO
006445;800;CLASSIFICADO
000003;800;CLASSIFICADO
040885;775;CLASSIFICADO
035216;775;CLASSIFICADO
029547;775;CLASSIFICADO
023878;775;CLASSIFICADO
018209;775;CLASSIFICADO
012540;770;CLASSIFICADO
068404;765;CLASSIFICADO
