CAMPUS LUIZ MENEGUEL
CURSO: ;Ciência  da Computação  - Integral  - 28 Vagas
086192;439;DESCLASSIFICADO
086009;439;DESCLASSIFICADO
085873;439;DESCLASSIFICADO
084733;439;DESCLASSIFICADO
084511;439;DESCLASSIFICADO
084382;439;DESCLASSIFICADO
084173;439;DESCLASSIFICADO
083990;439;DESCLASSIFICADO
083854;439;DESCLASSIFICADO
078185;439;DESCLASSIFICADO
076275;439;DESCLASSIFICADO
074257;439;DESCLASSIFICADO
074126;439;DESCLASSIFICADO
050571;439;DESCLASSIFICADO
045221;439;DESCLASSIFICADO
045038;439;DESCLASSIFICADO
044902;439;DESCLASSIFICADO
039552;439;DESCLASSIFICADO
039369;439;DESCLASSIFICADO
039233;439;DESCLASSIFICADO
039102;439;DESCLASSIFICADO
028031;439;DESCLASSIFICADO
027895;439;DESCLASSIFICADO
022226;439;DESCLASSIFICADO
022095;439;DESCLASSIFICADO
016426;439;DESCLASSIFICADO
097735;435;DESCLASSIFICADO
096163;435;DESCLASSIFICADO
094015;435;DESCLASSIFICADO
086436;435;DESCLASSIFICADO
084417;435;DESCLASSIFICADO
084208;435;DESCLASSIFICADO
078539;435;DESCLASSIFICADO
076629;435;DESCLASSIFICADO
062263;435;DESCLASSIFICADO
050925;435;DESCLASSIFICADO
045256;435;DESCLASSIFICADO
039587;435;DESCLASSIFICADO
021805;434;DESCLASSIFICADO
016136;434;DESCLASSIFICADO
010467;434;DESCLASSIFICADO
004798;434;DESCLASSIFICADO
094462;433;DESCLASSIFICADO
087919;433;DESCLASSIFICADO
078321;433;DESCLASSIFICADO
076411;433;DESCLASSIFICADO
074393;433;DESCLASSIFICADO
050707;433;DESCLASSIFICADO
033700;433;DESCLASSIFICADO
033564;433;DESCLASSIFICADO
094456;432;DESCLASSIFICADO
085867;432;DESCLASSIFICADO
078179;432;DESCLASSIFICADO
076269;432;DESCLASSIFICADO
050565;432;DESCLASSIFICADO
039227;432;DESCLASSIFICADO
027889;432;DESCLASSIFICADO
022220;432;DESCLASSIFICADO
083932;428;DESCLASSIFICADO
078263;428;DESCLASSIFICADO
076353;428;DESCLASSIFICADO
072843;428;DESCLASSIFICADO
039311;428;DESCLASSIFICADO
027973;428;DESCLASSIFICADO
016153;428;DESCLASSIFICADO
094609;427;DESCLASSIFICADO
078054;427;DESCLASSIFICADO
076422;427;DESCLASSIFICADO
076144;427;DESCLASSIFICADO
072872;427;DESCLASSIFICADO
044771;427;DESCLASSIFICADO
033433;427;DESCLASSIFICADO
033189;427;DESCLASSIFICADO
027764;427;DESCLASSIFICADO
027520;427;DESCLASSIFICADO
021851;427;DESCLASSIFICADO
016182;427;DESCLASSIFICADO
010513;427;DESCLASSIFICADO
004844;427;DESCLASSIFICADO
086282;426;DESCLASSIFICADO
084263;426;DESCLASSIFICADO
074666;426;DESCLASSIFICADO
050980;426;DESCLASSIFICADO
045311;426;DESCLASSIFICADO
039642;426;DESCLASSIFICADO
033973;426;DESCLASSIFICADO
094540;422;DESCLASSIFICADO
087861;422;DESCLASSIFICADO
085951;422;DESCLASSIFICADO
074335;422;DESCLASSIFICADO
050649;422;DESCLASSIFICADO
044980;422;DESCLASSIFICADO
033642;422;DESCLASSIFICADO
033160;422;DESCLASSIFICADO
027491;422;DESCLASSIFICADO
022304;422;DESCLASSIFICADO
021822;422;DESCLASSIFICADO
010484;422;DESCLASSIFICADO
004815;422;DESCLASSIFICADO
087930;421;DESCLASSIFICADO
086020;421;DESCLASSIFICADO
084001;421;DESCLASSIFICADO
078332;421;DESCLASSIFICADO
074404;421;DESCLASSIFICADO
050718;421;DESCLASSIFICADO
045049;421;DESCLASSIFICADO
039380;421;DESCLASSIFICADO
033711;421;DESCLASSIFICADO
028042;421;DESCLASSIFICADO
097790;420;DESCLASSIFICADO
095880;420;DESCLASSIFICADO
094232;420;DESCLASSIFICADO
094218;420;DESCLASSIFICADO
093861;420;DESCLASSIFICADO
088192;420;DESCLASSIFICADO
084634;420;DESCLASSIFICADO
084620;420;DESCLASSIFICADO
083848;420;DESCLASSIFICADO
078594;420;DESCLASSIFICADO
076684;420;DESCLASSIFICADO
076045;420;DESCLASSIFICADO
076031;420;DESCLASSIFICADO
074251;420;DESCLASSIFICADO
074013;420;DESCLASSIFICADO
062318;420;DESCLASSIFICADO
056649;420;DESCLASSIFICADO
044896;420;DESCLASSIFICADO
038989;420;DESCLASSIFICADO
033558;420;DESCLASSIFICADO
033334;420;DESCLASSIFICADO
033320;420;DESCLASSIFICADO
027665;420;DESCLASSIFICADO
027651;420;DESCLASSIFICADO
021982;420;DESCLASSIFICADO
016327;420;DESCLASSIFICADO
016313;420;DESCLASSIFICADO
010644;420;DESCLASSIFICADO
027387;419;DESCLASSIFICADO
016049;419;DESCLASSIFICADO
094240;418;DESCLASSIFICADO
076053;418;DESCLASSIFICADO
039011;418;DESCLASSIFICADO
027673;418;DESCLASSIFICADO
016335;418;DESCLASSIFICADO
038928;415;DESCLASSIFICADO
074027;414;DESCLASSIFICADO
039003;414;DESCLASSIFICADO
021996;414;DESCLASSIFICADO
010658;414;DESCLASSIFICADO
094600;413;DESCLASSIFICADO
087921;413;DESCLASSIFICADO
086011;413;DESCLASSIFICADO
078323;413;DESCLASSIFICADO
050709;413;DESCLASSIFICADO
045040;413;DESCLASSIFICADO
039371;413;DESCLASSIFICADO
084642;412;DESCLASSIFICADO
074035;412;DESCLASSIFICADO
033342;412;DESCLASSIFICADO
022004;412;DESCLASSIFICADO
010666;412;DESCLASSIFICADO
072942;409;DESCLASSIFICADO
033259;409;DESCLASSIFICADO
027590;409;DESCLASSIFICADO
021921;409;DESCLASSIFICADO
016252;409;DESCLASSIFICADO
010583;409;DESCLASSIFICADO
094342;408;DESCLASSIFICADO
078065;408;DESCLASSIFICADO
039113;408;DESCLASSIFICADO
033444;408;DESCLASSIFICADO
027775;408;DESCLASSIFICADO
072739;407;DESCLASSIFICADO
067070;407;DESCLASSIFICADO
021718;407;DESCLASSIFICADO
010380;407;DESCLASSIFICADO
004711;407;DESCLASSIFICADO
096110;402;DESCLASSIFICADO
095772;402;DESCLASSIFICADO
093962;402;DESCLASSIFICADO
088084;402;DESCLASSIFICADO
086512;402;DESCLASSIFICADO
084744;402;DESCLASSIFICADO
084155;402;DESCLASSIFICADO
076785;402;DESCLASSIFICADO
076576;402;DESCLASSIFICADO
076155;402;DESCLASSIFICADO
074896;402;DESCLASSIFICADO
074558;402;DESCLASSIFICADO
074137;402;DESCLASSIFICADO
056541;402;DESCLASSIFICADO
050872;402;DESCLASSIFICADO
044782;402;DESCLASSIFICADO
033865;402;DESCLASSIFICADO
033269;402;DESCLASSIFICADO
028196;402;DESCLASSIFICADO
022106;402;DESCLASSIFICADO
021931;402;DESCLASSIFICADO
016437;402;DESCLASSIFICADO
016262;402;DESCLASSIFICADO
010593;402;DESCLASSIFICADO
083992;401;DESCLASSIFICADO
076413;401;DESCLASSIFICADO
074395;401;DESCLASSIFICADO
033702;401;DESCLASSIFICADO
028033;401;DESCLASSIFICADO
097816;397;DESCLASSIFICADO
095933;397;DESCLASSIFICADO
095906;397;DESCLASSIFICADO
093914;397;DESCLASSIFICADO
093887;397;DESCLASSIFICADO
088218;397;DESCLASSIFICADO
086335;397;DESCLASSIFICADO
086308;397;DESCLASSIFICADO
084316;397;DESCLASSIFICADO
084289;397;DESCLASSIFICADO
078620;397;DESCLASSIFICADO
076737;397;DESCLASSIFICADO
076710;397;DESCLASSIFICADO
074719;397;DESCLASSIFICADO
074692;397;DESCLASSIFICADO
062344;397;DESCLASSIFICADO
056675;397;DESCLASSIFICADO
051006;397;DESCLASSIFICADO
045337;397;DESCLASSIFICADO
039668;397;DESCLASSIFICADO
033999;397;DESCLASSIFICADO
097682;396;DESCLASSIFICADO
095981;396;DESCLASSIFICADO
094091;396;DESCLASSIFICADO
093753;396;DESCLASSIFICADO
086383;396;DESCLASSIFICADO
086174;396;DESCLASSIFICADO
084493;396;DESCLASSIFICADO
084364;396;DESCLASSIFICADO
078486;396;DESCLASSIFICADO
076914;396;DESCLASSIFICADO
074767;396;DESCLASSIFICADO
045203;396;DESCLASSIFICADO
039534;396;DESCLASSIFICADO
038938;396;DESCLASSIFICADO
027600;396;DESCLASSIFICADO
094489;393;DESCLASSIFICADO
083881;393;DESCLASSIFICADO
078212;393;DESCLASSIFICADO
074284;393;DESCLASSIFICADO
044929;393;DESCLASSIFICADO
022253;393;DESCLASSIFICADO
097781;389;DESCLASSIFICADO
095947;389;DESCLASSIFICADO
095871;389;DESCLASSIFICADO
094476;389;DESCLASSIFICADO
094057;389;DESCLASSIFICADO
093719;389;DESCLASSIFICADO
088183;389;DESCLASSIFICADO
086349;389;DESCLASSIFICADO
086273;389;DESCLASSIFICADO
084330;389;DESCLASSIFICADO
084254;389;DESCLASSIFICADO
083868;389;DESCLASSIFICADO
078585;389;DESCLASSIFICADO
076675;389;DESCLASSIFICADO
076542;389;DESCLASSIFICADO
076289;389;DESCLASSIFICADO
074733;389;DESCLASSIFICADO
056640;389;DESCLASSIFICADO
056507;389;DESCLASSIFICADO
050971;389;DESCLASSIFICADO
050585;389;DESCLASSIFICADO
045302;389;DESCLASSIFICADO
045169;389;DESCLASSIFICADO
044916;389;DESCLASSIFICADO
039633;389;DESCLASSIFICADO
039500;389;DESCLASSIFICADO
039247;389;DESCLASSIFICADO
033578;389;DESCLASSIFICADO
027475;389;DESCLASSIFICADO
016137;389;DESCLASSIFICADO
010468;389;DESCLASSIFICADO
027542;384;DESCLASSIFICADO
021873;384;DESCLASSIFICADO
016204;384;DESCLASSIFICADO
010535;384;DESCLASSIFICADO
096076;383;DESCLASSIFICADO
095738;383;DESCLASSIFICADO
093928;383;DESCLASSIFICADO
093852;383;DESCLASSIFICADO
088050;383;DESCLASSIFICADO
086478;383;DESCLASSIFICADO
086140;383;DESCLASSIFICADO
084459;383;DESCLASSIFICADO
084121;383;DESCLASSIFICADO
078452;383;DESCLASSIFICADO
076880;383;DESCLASSIFICADO
076751;383;DESCLASSIFICADO
074862;383;DESCLASSIFICADO
074657;383;DESCLASSIFICADO
074524;383;DESCLASSIFICADO
072827;383;DESCLASSIFICADO
062309;383;DESCLASSIFICADO
050838;383;DESCLASSIFICADO
033964;383;DESCLASSIFICADO
033831;383;DESCLASSIFICADO
033144;383;DESCLASSIFICADO
028162;383;DESCLASSIFICADO
021806;383;DESCLASSIFICADO
004799;383;DESCLASSIFICADO
087810;381;DESCLASSIFICADO
085900;381;DESCLASSIFICADO
076302;381;DESCLASSIFICADO
050598;381;DESCLASSIFICADO
039260;381;DESCLASSIFICADO
033591;381;DESCLASSIFICADO
027922;381;DESCLASSIFICADO
072894;378;DESCLASSIFICADO
033211;378;DESCLASSIFICADO
085887;377;DESCLASSIFICADO
078199;377;DESCLASSIFICADO
074271;377;DESCLASSIFICADO
027909;377;DESCLASSIFICADO
022240;377;DESCLASSIFICADO
076317;376;DESCLASSIFICADO
050613;376;DESCLASSIFICADO
044944;376;DESCLASSIFICADO
027937;376;DESCLASSIFICADO
084591;370;DESCLASSIFICADO
038960;370;DESCLASSIFICADO
021953;370;DESCLASSIFICADO
016284;370;DESCLASSIFICADO
010615;370;DESCLASSIFICADO
072864;363;DESCLASSIFICADO
072753;363;DESCLASSIFICADO
067078;363;DESCLASSIFICADO
027401;363;DESCLASSIFICADO
021843;363;DESCLASSIFICADO
021732;363;DESCLASSIFICADO
016174;363;DESCLASSIFICADO
016057;363;DESCLASSIFICADO
010505;363;DESCLASSIFICADO
010388;363;DESCLASSIFICADO
004725;363;DESCLASSIFICADO
004719;363;DESCLASSIFICADO
094504;358;DESCLASSIFICADO
094212;358;DESCLASSIFICADO
087825;358;DESCLASSIFICADO
085915;358;DESCLASSIFICADO
084614;358;DESCLASSIFICADO
083896;358;DESCLASSIFICADO
078227;358;DESCLASSIFICADO
074299;358;DESCLASSIFICADO
074007;358;DESCLASSIFICADO
039275;358;DESCLASSIFICADO
038983;358;DESCLASSIFICADO
033606;358;DESCLASSIFICADO
027645;358;DESCLASSIFICADO
022268;358;DESCLASSIFICADO
016307;358;DESCLASSIFICADO
067084;357;DESCLASSIFICADO
033181;357;DESCLASSIFICADO
033070;357;DESCLASSIFICADO
027512;357;DESCLASSIFICADO
016063;357;DESCLASSIFICADO
010394;357;DESCLASSIFICADO
004836;357;DESCLASSIFICADO
078040;356;DESCLASSIFICADO
044757;356;DESCLASSIFICADO
033419;356;DESCLASSIFICADO
022081;356;DESCLASSIFICADO
016412;356;DESCLASSIFICADO
094189;352;DESCLASSIFICADO
076025;352;DESCLASSIFICADO
076002;352;DESCLASSIFICADO
073984;352;DESCLASSIFICADO
033314;352;DESCLASSIFICADO
033291;352;DESCLASSIFICADO
027622;352;DESCLASSIFICADO
021976;352;DESCLASSIFICADO
010638;352;DESCLASSIFICADO
072839;345;DESCLASSIFICADO
033156;345;DESCLASSIFICADO
027487;345;DESCLASSIFICADO
021818;345;DESCLASSIFICADO
016149;345;DESCLASSIFICADO
010480;345;DESCLASSIFICADO
004811;345;DESCLASSIFICADO
095729;344;DESCLASSIFICADO
088041;344;DESCLASSIFICADO
086131;344;DESCLASSIFICADO
084112;344;DESCLASSIFICADO
076533;344;DESCLASSIFICADO
074515;344;DESCLASSIFICADO
056498;344;DESCLASSIFICADO
045160;344;DESCLASSIFICADO
039491;344;DESCLASSIFICADO
072747;339;DESCLASSIFICADO
033064;339;DESCLASSIFICADO
027395;339;DESCLASSIFICADO
021726;339;DESCLASSIFICADO
072811;337;DESCLASSIFICADO
027459;337;DESCLASSIFICADO
021790;337;DESCLASSIFICADO
016121;337;DESCLASSIFICADO
094317;332;DESCLASSIFICADO
093710;332;DESCLASSIFICADO
084719;332;DESCLASSIFICADO
078443;332;DESCLASSIFICADO
076130;332;DESCLASSIFICADO
074112;332;DESCLASSIFICADO
050829;332;DESCLASSIFICADO
039088;332;DESCLASSIFICADO
033822;332;DESCLASSIFICADO
028153;332;DESCLASSIFICADO
027750;332;DESCLASSIFICADO
021702;331;DESCLASSIFICADO
016033;331;DESCLASSIFICADO
010364;331;DESCLASSIFICADO
004695;331;DESCLASSIFICADO
093845;326;DESCLASSIFICADO
086604;326;DESCLASSIFICADO
086266;326;DESCLASSIFICADO
078578;326;DESCLASSIFICADO
076877;326;DESCLASSIFICADO
062302;326;DESCLASSIFICADO
045295;326;DESCLASSIFICADO
039626;326;DESCLASSIFICADO
072723;325;DESCLASSIFICADO
067054;325;DESCLASSIFICADO
033128;325;DESCLASSIFICADO
027371;325;DESCLASSIFICADO
010452;325;DESCLASSIFICADO
004783;325;DESCLASSIFICADO
097774;320;DESCLASSIFICADO
096202;320;DESCLASSIFICADO
096073;320;DESCLASSIFICADO
095864;320;DESCLASSIFICADO
094183;320;DESCLASSIFICADO
094054;320;DESCLASSIFICADO
093886;320;DESCLASSIFICADO
088217;320;DESCLASSIFICADO
088176;320;DESCLASSIFICADO
086475;320;DESCLASSIFICADO
084585;320;DESCLASSIFICADO
084456;320;DESCLASSIFICADO
084288;320;DESCLASSIFICADO
084247;320;DESCLASSIFICADO
078619;320;DESCLASSIFICADO
076736;320;DESCLASSIFICADO
076668;320;DESCLASSIFICADO
075997;320;DESCLASSIFICADO
074859;320;DESCLASSIFICADO
074718;320;DESCLASSIFICADO
074691;320;DESCLASSIFICADO
074650;320;DESCLASSIFICADO
073978;320;DESCLASSIFICADO
062343;320;DESCLASSIFICADO
056674;320;DESCLASSIFICADO
056633;320;DESCLASSIFICADO
051005;320;DESCLASSIFICADO
050964;320;DESCLASSIFICADO
045336;320;DESCLASSIFICADO
039667;320;DESCLASSIFICADO
033957;320;DESCLASSIFICADO
097815;314;DESCLASSIFICADO
095932;314;DESCLASSIFICADO
095905;314;DESCLASSIFICADO
093913;314;DESCLASSIFICADO
086334;314;DESCLASSIFICADO
086307;314;DESCLASSIFICADO
084315;314;DESCLASSIFICADO
076709;314;DESCLASSIFICADO
033998;314;DESCLASSIFICADO
096106;287;DESCLASSIFICADO
094087;287;DESCLASSIFICADO
093958;287;DESCLASSIFICADO
086508;287;DESCLASSIFICADO
086170;287;DESCLASSIFICADO
084489;287;DESCLASSIFICADO
084151;287;DESCLASSIFICADO
078482;287;DESCLASSIFICADO
076572;287;DESCLASSIFICADO
074892;287;DESCLASSIFICADO
056537;287;DESCLASSIFICADO
045199;287;DESCLASSIFICADO
039530;287;DESCLASSIFICADO
028192;287;DESCLASSIFICADO
015977;274;DESCLASSIFICADO
072667;268;DESCLASSIFICADO
066998;268;DESCLASSIFICADO
027315;268;DESCLASSIFICADO
021646;268;DESCLASSIFICADO
010308;268;DESCLASSIFICADO
004639;268;DESCLASSIFICADO
097678;263;DESCLASSIFICADO
095977;263;DESCLASSIFICADO
095768;263;DESCLASSIFICADO
093749;263;DESCLASSIFICADO
088080;263;DESCLASSIFICADO
086379;263;DESCLASSIFICADO
084360;263;DESCLASSIFICADO
076910;263;DESCLASSIFICADO
076781;263;DESCLASSIFICADO
074763;263;DESCLASSIFICADO
074554;263;DESCLASSIFICADO
050868;263;DESCLASSIFICADO
033861;263;DESCLASSIFICADO
094126;244;DESCLASSIFICADO
088119;244;DESCLASSIFICADO
086547;244;DESCLASSIFICADO
086418;244;DESCLASSIFICADO
086209;244;DESCLASSIFICADO
084399;244;DESCLASSIFICADO
078521;244;DESCLASSIFICADO
076949;244;DESCLASSIFICADO
076820;244;DESCLASSIFICADO
074931;244;DESCLASSIFICADO
074802;244;DESCLASSIFICADO
050907;244;DESCLASSIFICADO
039569;244;DESCLASSIFICADO
097717;238;DESCLASSIFICADO
096145;238;DESCLASSIFICADO
096016;238;DESCLASSIFICADO
095807;238;DESCLASSIFICADO
093997;238;DESCLASSIFICADO
093788;238;DESCLASSIFICADO
084528;238;DESCLASSIFICADO
084190;238;DESCLASSIFICADO
076611;238;DESCLASSIFICADO
074593;238;DESCLASSIFICADO
056576;238;DESCLASSIFICADO
045238;238;DESCLASSIFICADO
033900;238;DESCLASSIFICADO
050885;0;DESCLASSIFICADO
094184;0;DESCLASSIFICADO
021647;0;DESCLASSIFICADO
085968;0;DESCLASSIFICADO
045162;0;DESCLASSIFICADO
056521;0;DESCLASSIFICADO
050586;0;DESCLASSIFICADO
087979;0;DESCLASSIFICADO
050831;0;DESCLASSIFICADO
033194;0;DESCLASSIFICADO
073977;0;DESCLASSIFICADO
075996;0;DESCLASSIFICADO
076427;0;DESCLASSIFICADO
084124;0;DESCLASSIFICADO
016329;0;DESCLASSIFICADO
038968;0;DESCLASSIFICADO
072668;0;DESCLASSIFICADO
084268;0;DESCLASSIFICADO
094179;0;DESCLASSIFICADO
094623;0;DESCLASSIFICADO
095802;0;DESCLASSIFICADO
056629;0;DESCLASSIFICADO
084344;0;DESCLASSIFICADO
086287;0;DESCLASSIFICADO
086291;0;DESCLASSIFICADO
093712;0;DESCLASSIFICADO
016224;0;DESCLASSIFICADO
021961;0;DESCLASSIFICADO
033983;0;DESCLASSIFICADO
039394;0;DESCLASSIFICADO
074538;0;DESCLASSIFICADO
084462;0;DESCLASSIFICADO
088064;0;DESCLASSIFICADO
088197;0;DESCLASSIFICADO
022212;0;DESCLASSIFICADO
027597;0;DESCLASSIFICADO
039429;0;DESCLASSIFICADO
056654;0;DESCLASSIFICADO
076370;0;DESCLASSIFICADO
085859;0;DESCLASSIFICADO
094197;0;DESCLASSIFICADO
039547;0;DESCLASSIFICADO
044997;0;DESCLASSIFICADO
066999;0;DESCLASSIFICADO
073979;0;DESCLASSIFICADO
074909;0;DESCLASSIFICADO
084168;0;DESCLASSIFICADO
015978;0;DESCLASSIFICADO
033216;0;DESCLASSIFICADO
033978;0;DESCLASSIFICADO
050636;0;DESCLASSIFICADO
050902;0;DESCLASSIFICADO
072914;0;DESCLASSIFICADO
076471;0;DESCLASSIFICADO
093733;0;DESCLASSIFICADO
016364;0;DESCLASSIFICADO
044742;0;DESCLASSIFICADO
050841;0;DESCLASSIFICADO
062301;0;DESCLASSIFICADO
074230;0;DESCLASSIFICADO
074418;0;DESCLASSIFICADO
074858;0;DESCLASSIFICADO
076545;0;DESCLASSIFICADO
078516;0;DESCLASSIFICADO
087812;0;DESCLASSIFICADO
004640;0;DESCLASSIFICADO
010447;0;DESCLASSIFICADO
015994;0;DESCLASSIFICADO
021785;0;DESCLASSIFICADO
022066;0;DESCLASSIFICADO
027316;0;DESCLASSIFICADO
027562;0;DESCLASSIFICADO
033824;0;DESCLASSIFICADO
045321;0;DESCLASSIFICADO
050965;0;DESCLASSIFICADO
072806;0;DESCLASSIFICADO
076667;0;DESCLASSIFICADO
078579;0;DESCLASSIFICADO
086025;0;DESCLASSIFICADO
094614;0;DESCLASSIFICADO
097795;0;DESCLASSIFICADO
022255;0;DESCLASSIFICADO
044931;0;DESCLASSIFICADO
045098;0;DESCLASSIFICADO
072684;0;DESCLASSIFICADO
074097;0;DESCLASSIFICADO
074453;0;DESCLASSIFICADO
094104;0;DESCLASSIFICADO
095785;0;DESCLASSIFICADO
096011;0;DESCLASSIFICADO
097770;0;DESCLASSIFICADO
010517;0;DESCLASSIFICADO
010540;0;DESCLASSIFICADO
010660;0;DESCLASSIFICADO
033231;0;DESCLASSIFICADO
033371;0;DESCLASSIFICADO
039191;0;DESCLASSIFICADO
050852;0;DESCLASSIFICADO
062328;0;DESCLASSIFICADO
072876;0;DESCLASSIFICADO
074926;0;DESCLASSIFICADO
084246;0;DESCLASSIFICADO
084333;0;DESCLASSIFICADO
084506;0;DESCLASSIFICADO
084586;0;DESCLASSIFICADO
086187;0;DESCLASSIFICADO
088172;0;DESCLASSIFICADO
093846;0;DESCLASSIFICADO
094527;0;DESCLASSIFICADO
033593;0;DESCLASSIFICADO
039625;0;DESCLASSIFICADO
045172;0;DESCLASSIFICADO
056658;0;DESCLASSIFICADO
056659;0;DESCLASSIFICADO
076248;0;DESCLASSIFICADO
076883;0;DESCLASSIFICADO
077992;0;DESCLASSIFICADO
078599;0;DESCLASSIFICADO
085938;0;DESCLASSIFICADO
086154;0;DESCLASSIFICADO
093866;0;DESCLASSIFICADO
097712;0;DESCLASSIFICADO
021856;0;DESCLASSIFICADO
022321;0;DESCLASSIFICADO
028091;0;DESCLASSIFICADO
028155;0;DESCLASSIFICADO
033537;0;DESCLASSIFICADO
033760;0;DESCLASSIFICADO
033956;0;DESCLASSIFICADO
062303;0;DESCLASSIFICADO
062323;0;DESCLASSIFICADO
074675;0;DESCLASSIFICADO
074747;0;DESCLASSIFICADO
087878;0;DESCLASSIFICADO
088201;0;DESCLASSIFICADO
088202;0;DESCLASSIFICADO
094055;0;DESCLASSIFICADO
094491;0;DESCLASSIFICADO
095752;0;DESCLASSIFICADO
096069;0;DESCLASSIFICADO
096090;0;DESCLASSIFICADO
097799;0;DESCLASSIFICADO
016187;0;DESCLASSIFICADO
021998;0;DESCLASSIFICADO
027524;0;DESCLASSIFICADO
027525;0;DESCLASSIFICADO
027667;0;DESCLASSIFICADO
027868;0;DESCLASSIFICADO
027881;0;DESCLASSIFICADO
027924;0;DESCLASSIFICADO
028047;0;DESCLASSIFICADO
033299;0;DESCLASSIFICADO
033550;0;DESCLASSIFICADO
033725;0;DESCLASSIFICADO
039298;0;DESCLASSIFICADO
039493;0;DESCLASSIFICADO
039564;0;DESCLASSIFICADO
039627;0;DESCLASSIFICADO
039652;0;DESCLASSIFICADO
044860;0;DESCLASSIFICADO
044917;0;DESCLASSIFICADO
045294;0;DESCLASSIFICADO
073974;0;DESCLASSIFICADO
074243;0;DESCLASSIFICADO
074409;0;DESCLASSIFICADO
074517;0;DESCLASSIFICADO
074797;0;DESCLASSIFICADO
075993;0;DESCLASSIFICADO
076765;0;DESCLASSIFICADO
076798;0;DESCLASSIFICADO
078466;0;DESCLASSIFICADO
078574;0;DESCLASSIFICADO
083812;0;DESCLASSIFICADO
084394;0;DESCLASSIFICADO
086034;0;DESCLASSIFICADO
086352;0;DESCLASSIFICADO
086363;0;DESCLASSIFICADO
087944;0;DESCLASSIFICADO
088053;0;DESCLASSIFICADO
093722;0;DESCLASSIFICADO
094302;0;DESCLASSIFICADO
094448;0;DESCLASSIFICADO
010309;0;DESCLASSIFICADO
010555;0;DESCLASSIFICADO
022291;0;DESCLASSIFICADO
027630;0;DESCLASSIFICADO
033193;0;DESCLASSIFICADO
033834;0;DESCLASSIFICADO
033895;0;DESCLASSIFICADO
033953;0;DESCLASSIFICADO
045316;0;DESCLASSIFICADO
045320;0;DESCLASSIFICADO
072877;0;DESCLASSIFICADO
074676;0;DESCLASSIFICADO
074876;0;DESCLASSIFICADO
076115;0;DESCLASSIFICADO
076233;0;DESCLASSIFICADO
076669;0;DESCLASSIFICADO
078214;0;DESCLASSIFICADO
078445;0;DESCLASSIFICADO
083883;0;DESCLASSIFICADO
084473;0;DESCLASSIFICADO
086204;0;DESCLASSIFICADO
088043;0;DESCLASSIFICADO
093870;0;DESCLASSIFICADO
016397;0;DESCLASSIFICADO
022241;0;DESCLASSIFICADO
027332;0;DESCLASSIFICADO
027960;0;DESCLASSIFICADO
033629;0;DESCLASSIFICADO
033845;0;DESCLASSIFICADO
039040;0;DESCLASSIFICADO
050767;0;DESCLASSIFICADO
050989;0;DESCLASSIFICADO
056632;0;DESCLASSIFICADO
056634;0;DESCLASSIFICADO
062327;0;DESCLASSIFICADO
073992;0;DESCLASSIFICADO
074671;0;DESCLASSIFICADO
074780;0;DESCLASSIFICADO
076693;0;DESCLASSIFICADO
076694;0;DESCLASSIFICADO
078200;0;DESCLASSIFICADO
084114;0;DESCLASSIFICADO
084135;0;DESCLASSIFICADO
084273;0;DESCLASSIFICADO
084377;0;DESCLASSIFICADO
086471;0;DESCLASSIFICADO
086492;0;DESCLASSIFICADO
086600;0;DESCLASSIFICADO
093766;0;DESCLASSIFICADO
094071;0;DESCLASSIFICADO
094182;0;DESCLASSIFICADO
097695;0;DESCLASSIFICADO
097773;0;DESCLASSIFICADO
010325;0;DESCLASSIFICADO
016292;0;DESCLASSIFICADO
021855;0;DESCLASSIFICADO
021893;0;DESCLASSIFICADO
022033;0;DESCLASSIFICADO
022184;0;DESCLASSIFICADO
028165;0;DESCLASSIFICADO
039073;0;DESCLASSIFICADO
039206;0;DESCLASSIFICADO
039262;0;DESCLASSIFICADO
039503;0;DESCLASSIFICADO
039622;0;DESCLASSIFICADO
045291;0;DESCLASSIFICADO
050666;0;DESCLASSIFICADO
050960;0;DESCLASSIFICADO
056436;0;DESCLASSIFICADO
056571;0;DESCLASSIFICADO
074527;0;DESCLASSIFICADO
074571;0;DESCLASSIFICADO
076010;0;DESCLASSIFICADO
076340;0;DESCLASSIFICADO
078158;0;DESCLASSIFICADO
078603;0;DESCLASSIFICADO
083919;0;DESCLASSIFICADO
084006;0;DESCLASSIFICADO
084050;0;DESCLASSIFICADO
084455;0;DESCLASSIFICADO
085846;0;DESCLASSIFICADO
086265;0;DESCLASSIFICADO
086267;0;DESCLASSIFICADO
086292;0;DESCLASSIFICADO
086476;0;DESCLASSIFICADO
086481;0;DESCLASSIFICADO
093783;0;DESCLASSIFICADO
093942;0;DESCLASSIFICADO
094234;0;DESCLASSIFICADO
095863;0;DESCLASSIFICADO
095890;0;DESCLASSIFICADO
096079;0;DESCLASSIFICADO
096198;0;DESCLASSIFICADO
096203;0;DESCLASSIFICADO
097775;0;DESCLASSIFICADO
004778;0;DESCLASSIFICADO
010518;0;DESCLASSIFICADO
016209;0;DESCLASSIFICADO
021663;0;DESCLASSIFICADO
021878;0;DESCLASSIFICADO
021928;0;DESCLASSIFICADO
022199;0;DESCLASSIFICADO
027702;0;DESCLASSIFICADO
027735;0;DESCLASSIFICADO
033404;0;DESCLASSIFICADO
033522;0;DESCLASSIFICADO
038935;0;DESCLASSIFICADO
